Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-21.844000,34.036000,180.000000,bottom
C3,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-20.828000,18.796000,180.000000,bottom
C4,10u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,-14.732000,31.496000,180.000000,bottom
C5,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-19.812000,31.496000,-90.000000,bottom
C6,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-22.860000,31.496000,90.000000,bottom
C7,10u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,-14.693500,19.304000,180.000000,bottom
C8,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-17.272000,11.684000,180.000000,bottom
C9,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-20.828000,11.684000,180.000000,bottom
C10,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-9.652000,30.480000,0.000000,bottom
C11,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-9.652000,25.908000,0.000000,bottom
C12,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-9.652000,24.384000,0.000000,bottom
C13,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-9.652000,19.812000,0.000000,bottom
C14,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-24.384000,11.684000,180.000000,bottom
C15,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-27.940000,11.684000,0.000000,bottom
C16,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-31.496000,11.684000,0.000000,bottom
C17,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-49.276000,22.860000,-90.000000,bottom
C18,10u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,-49.784000,26.924000,180.000000,bottom
C19,10u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,-52.324000,38.100000,0.000000,bottom
C20,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-54.356000,25.400000,180.000000,bottom
C22,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-55.372000,22.860000,-90.000000,bottom
C23,10u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,-58.928000,26.924000,0.000000,bottom
C24,4u7,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-54.356000,27.940000,0.000000,bottom
C25,4u7,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-50.292000,30.988000,-90.000000,bottom
C26,10u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,-62.484000,31.496000,-90.000000,bottom
C27,2n2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-47.752000,30.480000,180.000000,bottom
C28,2n2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-47.752000,35.052000,0.000000,bottom
FB1,FerriteBead_Small,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-9.652000,28.956000,180.000000,bottom
FB2,FerriteBead_Small,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-9.652000,27.432000,180.000000,bottom
FB3,FerriteBead_Small,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-9.652000,22.860000,180.000000,bottom
FB4,FerriteBead_Small,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-9.652000,21.336000,180.000000,bottom
Q1,2N7002,SOT-23,-38.100000,11.684000,-90.000000,bottom
Q2,2N7002,SOT-23,-48.768000,11.684000,-90.000000,bottom
Q3,2N7002,SOT-23,-41.656000,11.684000,-90.000000,bottom
Q4,2N7002,SOT-23,-52.324000,11.684000,-90.000000,bottom
Q5,2N7002,SOT-23,-45.212000,11.684000,-90.000000,bottom
Q6,2N7002,SOT-23,-55.880000,11.684000,-90.000000,bottom
R3,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-21.336000,31.496000,-90.000000,bottom
R4,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-20.828000,20.320000,0.000000,bottom
R5,10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-18.288000,31.496000,90.000000,bottom
R6,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-19.812000,7.620000,90.000000,bottom
R7,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-18.288000,7.620000,-90.000000,bottom
R8,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-22.860000,7.620000,90.000000,bottom
R9,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-21.336000,7.620000,-90.000000,bottom
R10,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-25.908000,7.620000,90.000000,bottom
R11,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-24.384000,7.620000,-90.000000,bottom
R12,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-28.956000,7.620000,90.000000,bottom
R13,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-27.432000,7.620000,-90.000000,bottom
R14,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-40.640000,7.620000,-90.000000,bottom
R15,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-43.180000,7.620000,-90.000000,bottom
R16,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-45.720000,7.620000,-90.000000,bottom
R17,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-48.260000,7.620000,-90.000000,bottom
R18,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-50.800000,7.620000,-90.000000,bottom
R19,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-53.340000,7.620000,-90.000000,bottom
R20,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-32.004000,7.620000,90.000000,bottom
R21,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-30.480000,7.620000,-90.000000,bottom
R22,470,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-47.752000,32.004000,180.000000,bottom
R23,470,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-47.752000,33.528000,180.000000,bottom
U1,PAM8406,SOP-16_3.9x9.9mm_P1.27mm,-17.780000,25.400000,-90.000000,bottom
U2,TPS79333-EP,SOT-23-5,-52.324000,22.860000,0.000000,bottom
U3,PCM5102,TSSOP-20_4.4x6.5mm_P0.65mm,-55.372000,32.512000,0.000000,bottom
